region,mpi,pop_in_mpi,deprivation_intensity,vulnerable_to_poverty,in_severe_poverty,pop_share,pop_size,num_mpi_poor,nutrition,child_mortality,years_of_schooling,school_attendance,cooking_fuel,sanitation,drinking_water,electricity,housing,assets
Bubanza,0.441545471,78.61042716,56.16881713,14.75783917,52.46707061,4.856708777,560.0065308,440.2235107,54.10195756,8.004370545,47.83635006,24.35076269,78.53932588,53.61128377,46.96031325,75.97678806,74.95565497,61.85815287
Bujumbura Mairie,0.113664707,24.26807751,46.83712868,29.74032563,9.638728489,6.157890618,710.0403442,172.3131409,17.02392026,3.965573065,9.609969959,4.531293574,23.90360885,19.44621196,7.919353808,17.36701686,14.08249713,16.48551144
Bujumbura Rural,0.342854809,69.09907493,49.61785798,21.5836381,33.70146722,6.054747099,698.1472778,482.4132996,48.53159644,4.015276006,27.13660138,17.48745163,69.09907493,44.7694374,32.53044173,67.05644776,61.7010159,50.46945308
Bururi,0.289830636,60.36934842,48.00956844,26.4599664,22.78734627,3.311621834,381.8490906,230.5198059,39.36902109,4.512091982,27.18547172,11.95183101,60.16131381,20.53682426,33.15017968,59.5697015,53.17232246,46.04954925
Cankuzo,0.461231837,81.76134403,56.41196861,12.93561478,55.39356122,3.007224722,346.7503662,283.5077515,55.95703592,8.958656249,51.80352936,30.91931145,81.75621834,44.58344777,53.14752537,81.23787551,77.31816928,49.258467
Cibitoke,0.427891442,77.49361052,55.2163513,16.16018032,49.21770346,5.870610667,676.9152832,524.5661011,52.55156814,9.598219533,44.13636903,28.98680942,77.4785207,42.51916741,40.22544361,73.89364932,72.30220505,57.96670489
Gitega,0.393232771,75.9784174,51.75585175,17.2476828,41.74730554,7.805024354,899.9643555,683.7786865,48.0056423,9.741093941,36.23712623,16.63965266,75.61558551,51.84120173,46.72960477,75.04994965,72.77536288,53.93672895
Karusi,0.464934288,82.7005662,56.21899697,14.00257286,54.72090234,5.21726662,601.5809326,497.5108337,58.56021081,6.655588676,63.77947935,29.18077257,82.66661716,15.49937166,37.68006796,82.27026073,81.32330765,62.91393003
Kayanza,0.417103541,77.97834528,53.48966299,15.17779177,45.67950652,7.163335514,825.973938,644.0808105,52.63418114,5.960661601,41.60738377,25.10384905,77.79430735,52.31492271,36.95891279,76.39183667,74.73365815,56.6745018
Kirundo,0.542976466,90.1021821,60.26229927,8.6948478,68.01477747,7.186064165,828.5946655,746.5818481,53.7165631,14.03704781,63.27611726,40.1953446,90.05435014,76.91644909,57.19011087,89.57940268,86.29978241,63.6423188
Makamba,0.383665025,74.05447157,51.80848861,15.43893738,41.03837482,6.030845627,695.3912964,514.9683228,50.0733466,5.910234593,41.31330073,26.49723814,74.05447157,24.00166673,39.68324031,73.08771892,69.75426405,38.63331295
Muramvya,0.367088664,77.51422261,47.35758831,13.5034342,29.43136071,3.647718832,420.6030273,326.0271606,59.68621026,5.672582687,32.88009772,10.22813757,77.27335628,18.97144643,30.5799657,77.10574611,74.19195174,57.23603514
Muyinga,0.532736942,89.35499645,59.62027458,7.158847247,67.03621013,7.480511727,862.5461426,770.7280884,61.18045529,13.42618228,54.69627839,35.43168375,89.20693477,67.30565818,68.20342311,88.79140718,86.48179525,64.73347121
Mwaro,0.332067907,68.06830031,48.78451584,23.49173503,31.59402598,3.202339608,369.24823,251.3409882,48.29266647,5.710056556,28.59660101,14.60463935,68.06830031,28.87082278,29.70382269,67.62352293,62.46317198,49.38069554
Ngozi,0.470912582,82.47930365,57.09463605,12.4307058,56.14934158,7.93148144,914.5455933,754.3108521,51.9501436,8.789762385,54.57740009,22.46484904,82.2023481,75.35481658,53.91473323,81.07303582,79.62712612,62.12411627
Rumonge,0.383892391,73.77655828,52.03446736,14.74523955,43.52234764,5.607747922,646.6057129,477.0434265,56.93598547,6.746026714,33.62709486,22.29791868,73.77655828,28.00122904,38.27895722,72.03322467,66.23181606,53.86343316
Rutana,0.406809274,73.76253829,55.15120316,17.62416018,45.35478222,4.39645665,506.9368286,373.9294739,46.76364174,6.169436405,42.41258931,25.89995124,73.73173678,46.10729258,55.30565292,73.41836224,71.63885466,48.31792937
Ruyigi,0.462241886,82.97939636,55.70562165,11.91604047,55.99427067,5.072403824,584.8774414,485.3277588,54.97450054,7.185380087,49.37891499,34.04106577,80.62398184,56.75285316,43.33193402,81.94365242,78.63894288,54.00443758
